iter	RMSE
0	87451.22023
1	87061.30339
2	86689.48569
3	86331.61337
4	85998.082
5	85684.04769
6	85384.83259
7	85101.60563
8	84835.79326
9	84585.68758
10	84347.31987
11	84115.07063
12	83900.41267
13	83698.22889
14	83510.12229
15	83332.42423
16	83160.96653
17	83002.3767
18	82852.39991
19	82710.88162
20	82576.21506
21	82443.41995
22	82323.73609
23	82209.83969
24	82102.97909
25	82001.55425
26	81906.80186
27	81813.42894
28	81727.67801
29	81640.57476
30	81564.06722
31	81491.55665
32	81431.0584
33	81366.20341
34	81305.92828
35	81246.02569
36	81191.33029
37	81137.67995
38	81090.80497
39	81040.09566
40	80995.85899
41	80951.0512
42	80914.56214
43	80876.36021
44	80843.31188
45	80811.01311
46	80776.67217
47	80745.5114
48	80715.81728
49	80686.21417
50	80660.66677
51	80635.96144
52	80611.06107
53	80587.94269
54	80564.47353
55	80542.03562
56	80519.74057
57	80501.76771
58	80485.69144
59	80466.62601
60	80449.30093
61	80434.71002
62	80420.05483
63	80409.0316
64	80394.72796
65	80384.72561
66	80373.16516
67	80360.86407
68	80351.23406
69	80341.64879
70	80331.94128
71	80319.40333
72	80308.33739
73	80303.53396
74	80299.0582
75	80289.66859
76	80279.50253
77	80272.61732
78	80265.70498
79	80257.84439
80	80248.89471
81	80241.96576
82	80233.86977
83	80225.10868
84	80215.39313
85	80209.92484
86	80202.29204
87	80198.72053
88	80194.13489
89	80188.63313
90	80183.14893
91	80178.84535
92	80174.30751
93	80169.78169
94	80166.07762
95	80161.75996
96	80156.90504
97	80152.4784
98	80147.59455
99	80143.53324
100	80139.02374
101	80134.15979
102	80131.53281
103	80129.68122
104	80127.41158
105	80123.26369
106	80117.78847
107	80113.22286
108	80108.10918
109	80104.3129
110	80102.22648
111	80096.8673
112	80094.08813
113	80090.25156
114	80086.49245
115	80084.61188
116	80079.68668
117	80076.71143
118	80074.30211
119	80072.25666
120	80070.14169
121	80069.33269
122	80068.09519
123	80064.51087
124	80061.00438
125	80058.2516
126	80054.51398
127	80052.54591
128	80049.49469
129	80048.69744
130	80043.05982
131	80041.27738
132	80037.90836
133	80035.90836
134	80031.51266
135	80029.77606
136	80026.64589
137	80025.22573
138	80021.59322
139	80020.6855
140	80017.25559
141	80014.64901
142	80012.74926
143	80010.04675
144	80009.11995
145	80005.86215
146	80005.86042
147	80003.09574
148	79999.11098
149	79995.26508
150	79994.51651
151	79993.05991
152	79990.40892
153	79989.0273
154	79986.03028
155	79985.30574
156	79981.73082
157	79979.17134
158	79977.10786
159	79975.48652
160	79974.47929
161	79971.97872
162	79969.07701
163	79967.17718
164	79963.6753
165	79963.16898
166	79959.47557
167	79958.12455
168	79956.60443
169	79953.92699
170	79953.12017
171	79952.02925
172	79950.09571
173	79949.15497
174	79945.97294
175	79943.75203
176	79942.79215
177	79939.40758
178	79937.97149
179	79937.97149
180	79936.77945
181	79936.51895
182	79934.09511
183	79931.04849
184	79929.0397
185	79928.28016
186	79924.27123
187	79920.83865
188	79918.15124
189	79918.04588
190	79917.6343
191	79916.99602
192	79915.80028
193	79913.45549
194	79912.31339
195	79911.9911
196	79911.55013
197	79911.13246
198	79910.75385
199	79909.23708
200	79903.99992
201	79903.25013
202	79902.5969
203	79899.94876
204	79899.31044
205	79898.14233
206	79897.24079
207	79895.90078
208	79892.54497
209	79891.34916
210	79890.37452
211	79889.19736
212	79887.1762
213	79885.69763
214	79885.58848
215	79884.22981
216	79883.23391
217	79881.83857
218	79879.82698
219	79879.27463
220	79878.71448
221	79876.98214
222	79876.14312
223	79875.66116
224	79874.11131
225	79872.98903
226	79871.70658
227	79870.28546
228	79869.97432
229	79867.20697
230	79866.98628
231	79866.6867
232	79865.51414
233	79861.30029
234	79860.29918
235	79859.29456
236	79859.07356
237	79858.64304
238	79856.19921
239	79855.63682
240	79854.18785
241	79851.21251
242	79850.97732
243	79847.57622
244	79846.87639
245	79844.81771
246	79844.48635
247	79844.40931
248	79840.39245
249	79840.28677
250	79839.72194
251	79839.50931
252	79836.16702
253	79835.17439
254	79834.22988
255	79831.1459
256	79831.10899
257	79828.88418
258	79826.47445
259	79825.26135
260	79824.90225
261	79823.14134
262	79821.59372
263	79819.17801
264	79818.81496
265	79816.9124
266	79816.0643
267	79816.02534
268	79815.25892
269	79813.93598
270	79809.66585
271	79808.61341
272	79807.46404
273	79806.28009
274	79806.25838
275	79804.42845
276	79804.03478
277	79803.24896
278	79800.44229
279	79799.23979
280	79794.48259
281	79790.39637
282	79789.31087
283	79788.87109
284	79787.13034
285	79784.28645
286	79781.67076
287	79780.91616
288	79776.73279
289	79774.11738
290	79774.00334
291	79773.96836
292	79772.91796
293	79772.0975
294	79771.92087
295	79770.42526
296	79768.2225
297	79767.78769
298	79766.23247
299	79764.9134
300	79764.1661
301	79762.71274
302	79760.51309
303	79757.64112
304	79755.8877
305	79751.74096
306	79750.49118
307	79747.00823
308	79743.96512
309	79741.92415
310	79739.21592
311	79738.87223
312	79738.54028
313	79738.42058
314	79738.36995
315	79736.23642
316	79735.64018
317	79735.42527
318	79734.72929
319	79732.11745
320	79730.40888
321	79730.4051
322	79729.268
323	79725.65685
324	79724.49086
325	79722.63702
326	79721.96459
327	79721.25644
328	79719.6652
329	79718.65077
330	79718.63808
331	79716.47083
332	79715.43179
333	79713.45895
334	79710.95375
335	79707.89268
336	79707.73137
337	79704.60832
338	79702.0706
339	79700.89235
340	79697.73364
341	79697.68456
342	79696.87352
343	79692.81582
344	79692.52782
345	79691.05595
346	79687.75893
347	79687.43528
348	79686.17547
349	79685.6988
350	79685.36551
351	79683.93228
352	79683.92405
353	79681.77989
354	79678.6065
355	79678.35049
356	79677.36331
357	79675.83753
358	79675.8099
359	79675.17512
360	79670.16336
361	79669.55356
362	79669.01258
363	79668.19551
364	79666.79207
365	79666.07757
366	79665.97055
367	79663.70535
368	79660.90698
369	79660.20681
370	79659.86989
371	79659.72738
372	79657.15243
373	79655.66
374	79653.34392
375	79652.02943
376	79651.48215
377	79650.97961
378	79650.88948
379	79649.26542
380	79649.23266
381	79648.54319
382	79648.54255
383	79645.94566
384	79645.21505
385	79644.12878
386	79643.04197
387	79640.39531
388	79637.52981
389	79634.93531
390	79631.78217
391	79630.19004
392	79629.72995
393	79629.62446
394	79629.41899
395	79628.30857
396	79628.29808
397	79626.19611
398	79626.08001
399	79625.7832
400	79625.1742
401	79625.16123
402	79624.17783
403	79623.47954
404	79622.40035
405	79621.54514
406	79621.197
407	79619.21572
408	79615.62498
409	79611.68951
410	79608.63104
411	79606.36902
412	79605.86286
413	79604.84538
414	79603.48628
415	79601.95084
416	79601.84386
417	79601.37412
418	79601.20831
419	79600.81085
420	79599.76223
421	79598.45807
422	79598.21446
423	79598.02824
424	79597.32025
425	79595.51085
426	79594.83016
427	79594.27259
428	79592.90326
429	79591.15353
430	79590.16595
431	79589.94391
432	79589.01548
433	79588.28304
434	79584.6195
435	79582.69447
436	79581.57489
437	79580.77748
438	79580.61817
439	79580.6115
440	79579.62089
441	79575.62955
442	79575.31729
443	79575.18315
444	79573.24926
445	79573.10904
446	79571.91119
447	79571.85001
448	79570.58025
449	79570.47773
450	79569.74998
451	79567.45052
452	79565.52882
453	79565.51805
454	79563.87254
455	79563.46654
456	79562.57326
457	79560.63539
458	79559.23133
459	79557.47525
460	79557.46556
461	79556.92681
462	79556.77298
463	79556.202
464	79555.32529
465	79554.33369
466	79552.51218
467	79551.45595
468	79550.83408
469	79548.80168
470	79548.65467
471	79548.12504
472	79547.04529
473	79545.57407
474	79544.05003
475	79541.99398
476	79541.41451
477	79539.93839
478	79539.2901
479	79538.32714
480	79536.57935
481	79535.58347
482	79535.4124
483	79532.96856
484	79531.57804
485	79529.01474
486	79526.43449
487	79525.09391
488	79522.85777
489	79520.5611
490	79518.8879
491	79518.13252
492	79517.32938
493	79517.20741
494	79514.8989
495	79514.7593
496	79514.69992
497	79513.22358
498	79511.34881
499	79511.29888
500	79509.02818
501	79508.20981
502	79507.07535
503	79506.19624
504	79504.95811
505	79504.83886
506	79503.44788
507	79500.85393
508	79500.04262
509	79498.53358
510	79497.49355
511	79497.13523
512	79496.97674
513	79495.26234
514	79495.25112
515	79493.46342
516	79491.48902
517	79490.57807
518	79490.03184
519	79489.90986
520	79487.18518
521	79485.59461
522	79484.89072
523	79483.62741
524	79483.60701
525	79483.54381
526	79482.9715
527	79482.62696
528	79482.42338
529	79481.56762
530	79479.59354
531	79479.0821
532	79477.59442
533	79476.86745
534	79476.29505
535	79475.70268
536	79475.41638
537	79473.32452
538	79472.45104
539	79469.48946
540	79468.46417
541	79467.21973
542	79467.09376
543	79466.00355
544	79464.98784
545	79462.66258
546	79458.7123
547	79457.04821
548	79454.9724
549	79454.94956
550	79454.02304
551	79451.72982
552	79450.76085
553	79448.79574
554	79448.59482
555	79447.5998
556	79446.80632
557	79446.72712
558	79443.58916
559	79443.04462
560	79441.98165
561	79441.94853
562	79441.34449
563	79439.92277
564	79439.9134
565	79439.89802
566	79437.09831
567	79436.07085
568	79434.70402
569	79434.39073
570	79433.64049
571	79433.28862
572	79432.86424
573	79429.58579
574	79428.88825
